errorrate,iterations,density,l,c,m,gamma,erasures,maxiterations,tests,efficiency,fsum,fcorrupt,pcons,pdes,degree,activities,alphabetsize,winners,poolsize
0,1,.015146700541178384,512,4,1000,1,1,1,1000,.03752577059369939,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.01513786315917969,512,4,1000,1,1,1,1000,.03752577059369939,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
.00010000000000000009,1,.015138244628906252,512,4,1000,1,2,1,1000,.03752577059369939,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.015140469868977866,512,4,1000,1,2,1,1000,.03752577059369939,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
.28150000000000003,1,.015144475301106769,512,4,1000,1,3,1,1000,.03752577059369939,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.015143267313639321,512,4,1000,1,3,1,1000,.03752577059369939,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.030058479309082026,512,4,2000,1,1,1,1000,.07377997543219043,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.030056826273600262,512,4,2000,1,1,1,1000,.07377997543219043,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
.0019000000000000017,1,.030055745442708337,512,4,2000,1,2,1,1000,.07377997543219043,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.030056635538736977,512,4,2000,1,2,1,1000,.07377997543219043,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
.7009,1,.03006267547607422,512,4,2000,1,3,1,1000,.07377997543219043,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.030068270365397137,512,4,2000,1,3,1,1000,.07377997543219043,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.04474449157714844,512,4,3000,1,1,1,1000,.10955423572228859,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.044743792215983076,512,4,3000,1,1,1,1000,.10955423572228859,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
.005600000000000005,1,.04474080403645833,512,4,3000,1,2,1,1000,.10955423572228859,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.04475453694661458,512,4,3000,1,2,1,1000,.10955423572228859,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
.9220999999999998,1,.044757207234700516,512,4,3000,1,3,1,1000,.10955423572228859,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.044742584228515625,512,4,3000,1,3,1,1000,.10955423572228859,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
0,1,.0592119852701823,512,4,4000,1,1,1,1000,.14501681935396424,sum_of_max!,erase_clusters!,1,0,0,2,130816,0,10
1,1,.0592175801595052,512,4,4000,1,1,1,1000,.14501681935396424,sum_of_max!,erase_clusters!,1,0,0,2,130816,1,10
